Bacteria,
Bacteria.FCB group.Bacteroidetes/Chlorobi group.Bacteroidetes.Bacteroidia.Bacteroidales.Bacteroidaceae.Bacteroides.Bacteroides vulgatus,0.053518,
Bacteria.FCB group.Bacteroidetes/Chlorobi group.Bacteroidetes.Bacteroidia.Bacteroidales.Bacteroidaceae.Bacteroides.environmental samples <Bacteroides>,
Bacteria.FCB group.Bacteroidetes/Chlorobi group.Bacteroidetes.Bacteroidia.Bacteroidales.Bacteroidaceae.Bacteroides.environmental samples <Bacteroides>.Bacteroides caccae CAG:21,0.020360,
Bacteria.FCB group.Bacteroidetes/Chlorobi group.Bacteroidetes.Bacteroidia.Bacteroidales.Bacteroidaceae.Bacteroides.environmental samples <Bacteroides>.Bacteroides coprocola CAG:162,0.057161,
Bacteria.FCB group.Bacteroidetes/Chlorobi group.Bacteroidetes.Bacteroidia.Bacteroidales.Bacteroidaceae.Bacteroides.environmental samples <Bacteroides>.Bacteroides spCAG:144,0.110216,
Bacteria.FCB group.Bacteroidetes/Chlorobi group.Bacteroidetes.Bacteroidia.Bacteroidales.Bacteroidaceae.Bacteroides.environmental samples <Bacteroides>.Bacteroides spCAG:443,0.015976,
Bacteria.FCB group.Bacteroidetes/Chlorobi group.Bacteroidetes.Bacteroidia.Bacteroidales.Odoribacteraceae,
Bacteria.FCB group.Bacteroidetes/Chlorobi group.Bacteroidetes.Bacteroidia.Bacteroidales.Odoribacteraceae.Butyricimonas,
Bacteria.FCB group.Bacteroidetes/Chlorobi group.Bacteroidetes.Bacteroidia.Bacteroidales.Odoribacteraceae.Butyricimonas.Butyricimonas virosa,0.075724,
Bacteria.FCB group.Bacteroidetes/Chlorobi group.Bacteroidetes.Bacteroidia.Bacteroidales.Odoribacteraceae.Odoribacter,0.048218,
Bacteria.FCB group.Bacteroidetes/Chlorobi group.Bacteroidetes.Bacteroidia.Bacteroidales.Porphyromonadaceae,
Bacteria.FCB group.Bacteroidetes/Chlorobi group.Bacteroidetes.Bacteroidia.Bacteroidales.Porphyromonadaceae.Barnesiella,
Bacteria.FCB group.Bacteroidetes/Chlorobi group.Bacteroidetes.Bacteroidia.Bacteroidales.Porphyromonadaceae.Barnesiella.Barnesiella intestinihominis,0.037734,
Bacteria.FCB group.Bacteroidetes/Chlorobi group.Bacteroidetes.Bacteroidia.Bacteroidales.Porphyromonadaceae.Barnesiella.Barnesiella viscericola,
Bacteria.FCB group.Bacteroidetes/Chlorobi group.Bacteroidetes.Bacteroidia.Bacteroidales.Porphyromonadaceae.Barnesiella.Barnesiella viscericola.Barnesiella viscericola DSM 18177,0.015726,
Bacteria.FCB group.Bacteroidetes/Chlorobi group.Bacteroidetes.Bacteroidia.Bacteroidales.Porphyromonadaceae.Parabacteroides,
Bacteria.FCB group.Bacteroidetes/Chlorobi group.Bacteroidetes.Bacteroidia.Bacteroidales.Porphyromonadaceae.Parabacteroides.Parabacteroides merdae,0.034167,
Bacteria.FCB group.Bacteroidetes/Chlorobi group.Bacteroidetes.Bacteroidia.Bacteroidales.Prevotellaceae,
Bacteria.FCB group.Bacteroidetes/Chlorobi group.Bacteroidetes.Bacteroidia.Bacteroidales.Prevotellaceae.Paraprevotella,0.101430,
Bacteria.FCB group.Bacteroidetes/Chlorobi group.Bacteroidetes.Bacteroidia.Bacteroidales.Prevotellaceae.Prevotella,0.021175,
Bacteria.FCB group.Bacteroidetes/Chlorobi group.Bacteroidetes.Bacteroidia.Bacteroidales.Rikenellaceae,
Bacteria.FCB group.Bacteroidetes/Chlorobi group.Bacteroidetes.Bacteroidia.Bacteroidales.Rikenellaceae.Alistipes,
Bacteria.FCB group.Bacteroidetes/Chlorobi group.Bacteroidetes.Bacteroidia.Bacteroidales.Rikenellaceae.Alistipes.Alistipes ihumii,0.016656,
Bacteria.FCB group.Bacteroidetes/Chlorobi group.Bacteroidetes.Bacteroidia.Bacteroidales.Rikenellaceae.Alistipes.Alistipes obesi,0.026025,
Bacteria.FCB group.Bacteroidetes/Chlorobi group.Bacteroidetes.Bacteroidia.Bacteroidales.Rikenellaceae.Alistipes.Alistipes putredinis,
Bacteria.FCB group.Bacteroidetes/Chlorobi group.Bacteroidetes.Bacteroidia.Bacteroidales.Rikenellaceae.Alistipes.Alistipes putredinis.Alistipes putredinis DSM 17216,0.025872,
Bacteria.FCB group.Bacteroidetes/Chlorobi group.Bacteroidetes.Bacteroidia.Bacteroidales.Rikenellaceae.Alistipes.Alistipes senegalensis,0.017442,
Bacteria.FCB group.Bacteroidetes/Chlorobi group.Bacteroidetes.Bacteroidia.Bacteroidales.Rikenellaceae.Alistipes.Alistipes shahii,0.042270,
Bacteria.FCB group.Bacteroidetes/Chlorobi group.Bacteroidetes.Bacteroidia.Bacteroidales.Rikenellaceae.Alistipes.Alistipes sp. AL-1,0.017131,
Bacteria.FCB group.Bacteroidetes/Chlorobi group.Bacteroidetes.Bacteroidia.Bacteroidales.Rikenellaceae.Alistipes.environmental samples <Alistipes>,
Bacteria.FCB group.Bacteroidetes/Chlorobi group.Bacteroidetes.Bacteroidia.Bacteroidales.Rikenellaceae.Alistipes.environmental samples <Alistipes>.Alistipes putredinis CAG:67,0.051798,
Bacteria.FCB group.Bacteroidetes/Chlorobi group.Bacteroidetes.Bacteroidia.Bacteroidales.Rikenellaceae.Alistipes.environmental samples <Alistipes>.Alistipes sp. CAG:268,0.812746,
Bacteria.FCB group.Bacteroidetes/Chlorobi group.Bacteroidetes.Bacteroidia.Bacteroidales.Rikenellaceae.Alistipes.environmental samples <Alistipes>.Alistipes sp. CAG:53,0.033339,
Bacteria.Proteobacteria,
Bacteria.Proteobacteria.Betaproteobacteria,
Bacteria.Proteobacteria.Betaproteobacteria.Burkholderiales,
Bacteria.Proteobacteria.Betaproteobacteria.Burkholderiales.Sutterellaceae,
Bacteria.Proteobacteria.Betaproteobacteria.Burkholderiales.Sutterellaceae.Sutterella,
Bacteria.Proteobacteria.Betaproteobacteria.Burkholderiales.Sutterellaceae.Sutterella.Sutterella wadsworthensis,0.019781,
Bacteria.Proteobacteria.delta/epsilon subdivisions,
Bacteria.Proteobacteria.delta/epsilon subdivisions.Deltaproteobacteria,
Bacteria.Proteobacteria.delta/epsilon subdivisions.Deltaproteobacteria.Desulfovibrionales,
Bacteria.Proteobacteria.delta/epsilon subdivisions.Deltaproteobacteria.Desulfovibrionales.Desulfovibrionaceae,0.018702,
Bacteria.Proteobacteria.Gammaproteobacteria,
Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales,
Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales.Enterobacteriaceae,0.028740,
Bacteria.PVC group,
Bacteria.PVC group.Verrucomicrobia,
Bacteria.PVC group.Verrucomicrobia.Verrucomicrobiae,
Bacteria.PVC group.Verrucomicrobia.Verrucomicrobiae.Verrucomicrobiales,
Bacteria.PVC group.Verrucomicrobia.Verrucomicrobiae.Verrucomicrobiales.Akkermansiaceae,
Bacteria.PVC group.Verrucomicrobia.Verrucomicrobiae.Verrucomicrobiales.Akkermansiaceae.Akkermansia,0.065193,
Bacteria.Terrabacteria group,
Bacteria.Terrabacteria group.Actinobacteria <phylum>,
Bacteria.Terrabacteria group.Actinobacteria <phylum>.Actinobacteria,
Bacteria.Terrabacteria group.Actinobacteria <phylum>.Actinobacteria.Bifidobacteriales,
Bacteria.Terrabacteria group.Actinobacteria <phylum>.Actinobacteria.Bifidobacteriales.Bifidobacteriaceae,
Bacteria.Terrabacteria group.Actinobacteria <phylum>.Actinobacteria.Bifidobacteriales.Bifidobacteriaceae.Bifidobacterium,0.048406,
Bacteria.Terrabacteria group.Actinobacteria <phylum>.Coriobacteriia,
Bacteria.Terrabacteria group.Actinobacteria <phylum>.Coriobacteriia.Coriobacteriales,
Bacteria.Terrabacteria group.Actinobacteria <phylum>.Coriobacteriia.Coriobacteriales.Coriobacteriaceae,
Bacteria.Terrabacteria group.Actinobacteria <phylum>.Coriobacteriia.Coriobacteriales.Coriobacteriaceae.Collinsella,0.031769,
Bacteria.Terrabacteria group.Firmicutes,
Bacteria.Terrabacteria group.Firmicutes.Bacilli,0.020046,
Bacteria.Terrabacteria group.Firmicutes.Clostridia,
Bacteria.Terrabacteria group.Firmicutes.Clostridia.Clostridiales,
Bacteria.Terrabacteria group.Firmicutes.Clostridia.Clostridiales.Clostridiaceae,
Bacteria.Terrabacteria group.Firmicutes.Clostridia.Clostridiales.Clostridiaceae.Clostridium,
Bacteria.Terrabacteria group.Firmicutes.Clostridia.Clostridiales.Clostridiaceae.Clostridium.environmental samples <Clostridium>,
Bacteria.Terrabacteria group.Firmicutes.Clostridia.Clostridiales.Clostridiaceae.Clostridium.environmental samples <Clostridium>.Clostridium sp. CAG:245,0.017436,
Bacteria.Terrabacteria group.Firmicutes.Clostridia.Clostridiales.Clostridiaceae.Clostridium.environmental samples <Clostridium>.Clostridium sp. CAG:269,0.028117,
Bacteria.Terrabacteria group.Firmicutes.Clostridia.Clostridiales.Clostridiaceae.Clostridium.environmental samples <Clostridium>.Clostridium sp. CAG:302,0.035523,
Bacteria.Terrabacteria group.Firmicutes.Clostridia.Clostridiales.Clostridiaceae.Clostridium.environmental samples <Clostridium>.Clostridium sp. CAG:440,0.018810,
Bacteria.Terrabacteria group.Firmicutes.Clostridia.Clostridiales.Clostridiaceae.Clostridium.environmental samples <Clostridium>.Clostridium sp. CAG:798,0.054732,
Bacteria.Terrabacteria group.Firmicutes.Clostridia.Clostridiales.Eubacteriaceae,
Bacteria.Terrabacteria group.Firmicutes.Clostridia.Clostridiales.Eubacteriaceae.Eubacterium,
Bacteria.Terrabacteria group.Firmicutes.Clostridia.Clostridiales.Eubacteriaceae.Eubacterium.environmental samples <Eubacterium>,
Bacteria.Terrabacteria group.Firmicutes.Clostridia.Clostridiales.Eubacteriaceae.Eubacterium.environmental samples <Eubacterium>.Eubacterium sp. CAG:202,0.177597,
Bacteria.Terrabacteria group.Firmicutes.Clostridia.Clostridiales.Eubacteriaceae.Eubacterium.environmental samples <Eubacterium>.Eubacterium sp. CAG:38,0.015872,
Bacteria.Terrabacteria group.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae,
Bacteria.Terrabacteria group.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Blautia,0.026479,
Bacteria.Terrabacteria group.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Coprococcus,0.023015,
Bacteria.Terrabacteria group.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Dorea,0.024458,
Bacteria.Terrabacteria group.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Roseburia,
Bacteria.Terrabacteria group.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Roseburia.environmental samples <Roseburia>,
Bacteria.Terrabacteria group.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Roseburia.environmental samples <Roseburia>.Roseburia sp. CAG:18,0.024301,
Bacteria.Terrabacteria group.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Roseburia.Roseburia intestinalis,0.019010,
Bacteria.Terrabacteria group.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.unclassified Lachnospiraceae,
Bacteria.Terrabacteria group.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.unclassified Lachnospiraceae.[Eubacterium] rectale,0.029809,
Bacteria.Terrabacteria group.Firmicutes.Clostridia.Clostridiales.Oscillospiraceae,
Bacteria.Terrabacteria group.Firmicutes.Clostridia.Clostridiales.Oscillospiraceae.Oscillibacter,
Bacteria.Terrabacteria group.Firmicutes.Clostridia.Clostridiales.Oscillospiraceae.Oscillibacter.environmental samples <Oscillibacter>,
Bacteria.Terrabacteria group.Firmicutes.Clostridia.Clostridiales.Oscillospiraceae.Oscillibacter.environmental samples <Oscillibacter>.Oscillibacter sp. CAG:241,0.033151,
Bacteria.Terrabacteria group.Firmicutes.Clostridia.Clostridiales.Oscillospiraceae.Oscillibacter.Oscillibacter sp. ER4,0.051815,
Bacteria.Terrabacteria group.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae,
Bacteria.Terrabacteria group.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Anaerotruncus,
Bacteria.Terrabacteria group.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae    .Anaerotruncus.environmental samples <Anaerotruncus>,
Bacteria.Terrabacteria group.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Anaerotruncus.environmental samples <Anaerotruncus>.Anaerotruncus sp. CAG:528,0.036552,
Bacteria.Terrabacteria group.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Faecalibacterium,
Bacteria.Terrabacteria group.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Faecalibacterium.environmental samples <Faecalibacterium>,
Bacteria.Terrabacteria group.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Faecalibacterium.environmental samples <Faecalibacterium>.Faecalibacterium sp. CAG:74,0.095012,
Bacteria.Terrabacteria group.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Faecalibacterium.Faecalibacterium prausnitzii,
Bacteria.Terrabacteria group.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Faecalibacterium.Faecalibacterium prausnitzii.Faecalibacterium prausnitzii A2-165,0.026414,
Bacteria.Terrabacteria group.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Ruminiclostridium,
Bacteria.Terrabacteria group.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Ruminiclostridium.[Eubacterium] siraeum,0.085200,
Bacteria.Terrabacteria group.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Ruminococcus,
Bacteria.Terrabacteria group.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Ruminococcus.environmental samples <Ruminococcus>,0.042353,
Bacteria.Terrabacteria group.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Subdoligranulum,
Bacteria.Terrabacteria group.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Subdoligranulum.environmental samples <Subdoligranulum>,
Bacteria.Terrabacteria group.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Subdoligranulum.environmental samples <Subdoligranulum>.Subdoligranulum sp. CAG:314,0.067029,
Bacteria.Terrabacteria group.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Subdoligranulum.Subdoligranulum sp. 4_3_54A2FAA,0.015177,
Bacteria.Terrabacteria group.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Subdoligranulum.Subdoligranulum variabile,
Bacteria.Terrabacteria group.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Subdoligranulum.Subdoligranulum variabile.Subdoligranulum variabile DSM 15176,0.027812,
Bacteria.Terrabacteria group.Firmicutes.Clostridia.Clostridiales.unclassified Clostridiales,0.021821,
Bacteria.Terrabacteria group.Firmicutes.environmental samples <clostridial firmicutes>,
Bacteria.Terrabacteria group.Firmicutes.environmental samples <clostridial firmicutes>.Firmicutes bacterium CAG:124,0.121654,
Bacteria.Terrabacteria group.Firmicutes.environmental samples <clostridial firmicutes>.Firmicutes bacterium CAG:176,0.057546,
Bacteria.Terrabacteria group.Firmicutes.environmental samples <clostridial firmicutes>.Firmicutes bacterium CAG:24,0.021820,
Bacteria.Terrabacteria group.Firmicutes.environmental samples <clostridial firmicutes>.Firmicutes bacterium CAG:41,0.014918,
Bacteria.Terrabacteria group.Firmicutes.environmental samples <clostridial firmicutes>.Firmicutes bacterium CAG:56,0.023090,
Bacteria.Terrabacteria group.Firmicutes.Erysipelotrichia,
Bacteria.Terrabacteria group.Firmicutes.Erysipelotrichia.Erysipelotrichales,
Bacteria.Terrabacteria group.Firmicutes.Erysipelotrichia.Erysipelotrichales.Erysipelotrichaceae,0.016095,
Bacteria.Terrabacteria group.Firmicutes.Negativicutes,
Bacteria.Terrabacteria group.Firmicutes.Negativicutes.Acidaminococcales,
Bacteria.Terrabacteria group.Firmicutes.Negativicutes.Acidaminococcales.Acidaminococcaceae,
Bacteria.Terrabacteria group.Firmicutes.Negativicutes.Acidaminococcales.Acidaminococcaceae.Acidaminococcus,0.020592,
Bacteria.Terrabacteria group.Firmicutes.Negativicutes.Selenomonadales,0.015226,
